fleet_no;cost_centre;reg_no;category;group;body_type;status;area_available
149;KELL01-FLT;RFD023GP;TRAILER;DRAW BAR;Curtainside;;
268;RENT02-FLT;XCT803GP;TRAILER;FRONT LINK;Curtainside;;
269;RENT02-FLT;XCT822GP;TRAILER;REAR LINK;Curtainside;;
286;LONG01-FLT;XCT823GP;TRAILER;FRONT LINK;Curtainside;;
287;LONG01-FLT;XCT841GP;TRAILER;REAR LINK;Curtainside;;
288;LONG01-FLT;XCT825GP;TRAILER;FRONT LINK;Curtainside;;
289;LONG01-FLT;XCT839GP;TRAILER;REAR LINK;Curtainside;;
296;JHBT01-FLT;FLEET296 (227);FORKLIFT;1.8 ELECTR;;;
309;RENT02-FLT;XPX192GP;8 TON;UD80;Curtainside;;
315;RENT02-FLT;YFB486GP;8 TON;UD80;Dryfreight Taillift;;
340;JHBT01-FLT;YPL091GP;12 TON;FTM 1200T;Curtainside;;
354;RBJV01-FLT;ZJY899GP;TRAILER;FRONT LINK;Curtainside;;
355;RBJV01-FLT;ZJZ235GP;TRAILER;REAR LINK;Curtainside;;
371;TAKV01-FLT;BV87FKGP ;TRAILER;TRI-AXLE;Dryfreight;;
391;RENT02-FLT;HN75YRGP;6X4;TGA 27-440;;;
396;RENT02-FLT;CB65VFGP;TRAILER;REAR LINK;Curtainside;;
398;RENT02-FLT;CC38RCGP;TRAILER;FRONT LINK;Curtainside;;
401;RENT02-FLT;JC04ZYGP;TRAILER;FRONT LINK;Curtainside;;
402;RENT02-FLT;JC05BDGP;TRAILER;REAR LINK;Curtainside;;
405;RENT02-FLT;ZJY903GP;6X4;UD390;;;
408;JHBT01-FLT;ZLN319GP;6X4;UD460 WT;;;
418;RENT02-FLT;BB17RPGP;4 TON;UD40;Curtainside;;
419;FLEE01-FLT;ZWX935GP;BAKKIE;RANGER 2.5;LDV;;
420;RABI01-FLT;BB50FNGP;8 TON;UD80;Curtainside;;
421;JHBT01-FLT;BB17RRGP;4 TON;UD40;Curtainside;;
426;RENT02-FLT;BC93NFGP;3.5 TON;UD35;Curtainside;;
427;RENT02-FLT;BD28BXGP;3.5 TON;UD35;Curtainside;;
429;JHBT01-FLT;BF33LNGP;4 TON;UD40;Curtainside;;
430;KZNV01-FLT;BF51MBGP;4 TON;UD40;Curtainside;;
431;KELL01-FLT;BF51MYGP;4 TON;UD40;Curtainside;;
432;RENT02-FLT;BD85MCGP;4 TON;UD40;Curtainside;;
433;RENT02-FLT;BD86JLGP;4 TON;UD40;Curtainside;;
434;JHBT01-FLT;BF51MNGP;4 TON;UD40;Curtainside;;
435;RENT01-FLT;BF64HWGP;4 TON;UD40;Curtainside;;
436;RENT02-FLT;BD25NZGP;8 TON;UD80;Curtainside;;
437;RENT02-FLT;BD55NWGP;8 TON;UD80;Panelvan;;
439;PMBV01-FLT;BD27ZJGP;8 TON;UD80;Curtainside;;
440;JHBT01-FLT;BD81MWGP;8 TON;UD80;Curtainside;;
444;TAKV01-FLT;BF22LLGP;6X4;UD390;;;
447;LNHV01-FLT;BF97CGGP;TRAILER;TRI-AXLE;Curtainside;;
450;NTCV01-FLT;BG68KMGP;TRAILER;TRI-AXLE;Curtainside;;
451;TAKV01-FLT;BG68KBGP;TRAILER;TRI-AXLE;Dryfreight;;
454;FLEE01-FLT;BH05YLGP;BAKKIE;BANTAM 1.4;LDV;;
464;RENT02-FLT;BM69CJGP;TRAILER;TRI-AXLE;Curtainside;;
466;TAKV01-FLT;BN07NKGP;TRAILER;TRI-AXLE;Dryfreight;;
467;TAKV01-FLT;BN07NCGP;TRAILER;TRI-AXLE;Dryfreight;;
473;RBJV01-FLT;BP56MJGP;TRAILER;TRI-AXLE;Curtainside;;
480;KELL01-FLT;CC10FNGP;TRAILER;DRAW BAR;Curtainside;;
483;KELL01-FLT;CD67TTGP;6X4;UD410;;;
484;LONG01-FLT;CD21NCGP;TRAILER;FRONT LINK;Curtainside;;
485;LONG01-FLT;CD21NBGP;TRAILER;REAR LINK;Curtainside;;
488;NTCV01-FLT;CH16LRGP;4X2;UD410;;;
489;TAKV01-FLT;CJ31HNGP;TRAILER;TRI-AXLE;Dryfreight;;
490;TAKV01-FLT;CJ31HRGP;TRAILER;TRI-AXLE;Dryfreight;;
491;RROY01-FLT;CH88MJGP;6X4;UD410;;;
492;RENT01-FLT;CL41SSGP;6X4;TGS 26-440;;;
493;LONG01-FLT;CL41SLGP;6X4;TGS 26-440;;;
494;RENT01-FLT;CL41SRGP;6X4;TGS 26-440;;;
496;RENT01-FLT;CL41SDGP;6X4;TGS 26-440;;;
497;RENT02-FLT;CL41SWGP;6X4;TGS 26-440;;;
500;RENT02-FLT;CL28YYGP;TRAILER;FRONT LINK;Curtainside;;
501;RENT02-FLT;CL28YSGP;TRAILER;REAR LINK;Curtainside;;
502;RENT02-FLT;CL28YNGP;TRAILER;FRONT LINK;Curtainside;;
503;RENT02-FLT;CL28YGGP;TRAILER;REAR LINK;Curtainside;;
504;LONG01-FLT;CL95CXGP;TRAILER;FRONT LINK;Curtainside;;
505;LONG01-FLT;CL95CZGP;TRAILER;REAR LINK;Curtainside;;
508;RENT02-FLT;CM07WWGP;TRAILER;FRONT LINK;Curtainside;;
509;RENT02-FLT;CM07WZGP;TRAILER;REAR LINK;Curtainside;;
512;JHBT01-FLT;CM07XHGP;TRAILER;FRONT LINK;Curtainside;;
513;JHBT01-FLT;CM07XVGP;TRAILER;REAR LINK;Curtainside;;
515;TAKV01-FLT;CM55BFGP;TRAILER;TRI-AXLE;Dryfreight;;
516;TAKV01-FLT;CM55BHGP;TRAILER;TRI-AXLE;Dryfreight;;
521;NIKV01-FLT;CS51LVGP;8 TON;UD90;Dryfreight;;
525;NIKV01-FLT;CS51LRGP;8 TON;UD90;Dryfreight;;
533;RENT02-FLT;DB00KXGP;8 TON;UD80;Curtainside;;
534;RENT02-FLT;DB00JVGP;8 TON;UD80;Curtainside;;
536;RENT02-FLT;DB00KNGP;8 TON;UD80;Dryfreight;;
539;TAKV01-FLT;DB00KYGP;TRAILER;TRI-AXLE;Dryfreight;;
540;KELL01-FLT;DC35TZGP;8 TON;FM16-270;Curtainside;;
541;KELL01-FLT;DC35VJGP;8 TON;FM16-270;Curtainside;;
542;KELL01-FLT;DC35VFGP;8 TON;FM16-270;Curtainside;;
543;KELL01-FLT;DC55RKGP;TRAILER;DRAW BAR;Curtainside;;
544;KELL01-FLT;DC55SNGP;TRAILER;DRAW BAR;Curtainside;;
545;KELL01-FLT;DC55SBGP;TRAILER;DRAW BAR;Curtainside;;
549;RENT02-FLT;DC29DYGP;8 TON;UD80;Dryfreight;;
550;RENT02-FLT;DC29FFGP;8 TON;UD80;Dryfreight;;
551;RENT02-FLT;DD62TFGP;8 TON;UD80;Dryfreight;;
552;RJKJ01-FLT;DD62TKGP;8 TON;UD80;Dryfreight;;
553;RENT02-FLT;DD62TNGP;8 TON;UD80;Dryfreight;;
554;RENT02-FLT;DD62TVGP;8 TON;UD80;Dryfreight;;
555;RENT02-FLT;DD62TYGP;8 TON;UD80;Dryfreight;;
557;RJKJ01-FLT;DG83PDGP;8 TON;UD80;Dryfreight;;
558;RENT01-FLT;DG83NHGP;8 TON;UD80;Dryfreight;;
559;RENT02-FLT;DG83SBGP;8 TON;UD80;Dryfreight Taillift;;
561;RJKJ01-FLT;DG83NLGP;8 TON;UD80;Dryfreight Taillift;;
570;RMUH01-FLT;DL06RKGP;12 TON;UD90;Freezer/Fridge Serco;;
571;RENT02-FLT;DK47PPGP;8 TON;UD80;Dryfreight Taillift;;
572;RENT02-FLT;DK47PNGP;8 TON;UD80;Dryfreight;;
585;IMPV01-FLT;DN51TZGP;8 TON;UD80;Curtainside;;
588;RABI01-FLT;DN51VLGP;8 TON;UD80;Curtainside;;
594;IMPV01-FLT;DN82NXGP;4 TON;FE7-150TF;Freezer/Fridge Serco;;
596;RENT01-FLT;DR20KLGP;4 TON;FE7-150TF;Freezer/Fridge Serco;;
618;RMUH01-FLT;DR80CVGP;5 TON;FE8-150TF;Freezer/Fridge Serco;;
619;RMUH01-FLT;DR80DKGP;5 TON;FE8-150TF;Freezer/Fridge Serco;;
622;RMUH01-FLT;DR80JTGP;5 TON;FE8-150TF;Freezer/Fridge Serco;;
624;RENT02-FLT;DS03CVGP;8 TON;UD80;Curtainside;;
625;RENT02-FLT;DS03CHGP;8 TON;UD80;Curtainside;;
626;IMPV01-FLT;DS03CCGP;8 TON;UD80;Curtainside;;
627;RABI01-FLT;DS03CSGP;8 TON;UD80;Curtainside;;
628;RMUH01-FLT;DS03CRGP;8 TON;UD80;Freezer/Fridge Serco;;
630;RENT02-FLT;DS20FRGP;8 TON;UD80;Dryfreight Tail Lift;;
631;RMUH01-FLT;DS03CLGP;12 TON;UD90;Freezer/Fridge Ice C;;
632;RRHO01-FLT;DS20FNGP;12 TON;UD90;Fridge/Freezer Ice C;;
634;RMUH01-FLT;DS31NRGP;12 TON;UD90;Fridge/Freezer Ice C;;
635;RMUH01-FLT;DS31PXGP;12 TON;UD90;Fridge/Freezer Ice C;;
648;IMPV01-FLT;DR80MYGP;5 TON;FE8-150TF;Dryfreight Tail Lift;;
649;RENT02-FLT;DS03CJGP;8 TON;UD80;Dryfreight Tail Lift;;
650;PMBV01-FLT;DS03DDGP;8 TON;UD80;Curtainside;;
651;RABI01-FLT;DS80XHGP;8 TON;UD80;Curtainside;;
652;RABI01-FLT;DS20DSGP;8 TON;UD80;Curtainside;;
653;RABI01-FLT;DS03CXGP;8 TON;UD80;Curtainside;;
654;RMUH01-FLT;DS20DLGP;12 TON;UD90;Fridge/Freezer Ice C;;
669;RMUH01-FLT;DS03BWGP;8 TON;UD80;Freezer/Fridge Serco;;
678;RENT01-FLT;DZ54XLGP;TRAILER;FRONT LINK;Curtainside;;
679;RENT01-FLT;DZ54XKGP;TRAILER;REAR LINK;Curtainside;;
680;LNHV01-FLT;DZ54XJGP;TRAILER;FRONT LINK;Curtainside;;
681;LNHV01-FLT;DZ54XMGP;TRAILER;REAR LINK;Curtainside;;
682;RENT02-FLT;DS22NLGP;8 TON;FK13-240FC;Dryfreight;;
683;RMUH01-FLT;FF22GBGP;8 TON;UD95;Fridge/Freezer;;
684;RMUH01-FLT;FF22GMGP;8 TON;UD95;Fridge/Freezer;;
